N.LC,Date_Code,Male.ID,Period
3,42078,B,Pre
0,42079,B,Pre
0,42080,B,Pre
6,42081,B,Pre
1,42082,B,Pre
3,42085,A,Pre
2,42086,A,Pre
4,42090,A,Pre
7,42091,A,Pre
2,42092,A,Pre
9,42093,A,Pre
9,42110,D,Pre
14,42111,D,Pre
17,42112,D,Pre
12,42113,D,Pre
6,42114,D,Pre
10,42118,C,Pre
7,42119,C,Pre
3,42120,C,Pre
6,42121,C,Pre
15,42122,C,Pre
0,42126,B,Pre
0,42127,B,Pre
2,42149,A,Pre
3,42150,A,Pre
1,42151,A,Pre
2,42152,A,Pre
3,42162,C,Pre
2,42163,C,Pre
1,42164,C,Pre
4,42165,C,Pre
12,42188,D,Pre
10,42189,D,Pre
8,42190,D,Pre
8,42191,D,Pre
7,42192,D,Pre
3,42251,D,Smoke
4,42252,D,Smoke
12,42253,D,Smoke
2,42261,B,Smoke
7,42262,B,Smoke
0,42263,B,Smoke
1,42264,B,Smoke
4,42265,B,Smoke
5,42270,C,Smoke
2,42271,C,Smoke
7,42272,C,Smoke
4,42274,D,Smoke
3,42275,D,Smoke
1,42285,A,Smoke
0,42286,A,Smoke
1,42291,C,Smoke
5,42292,C,Smoke
0,42292,A,Smoke
2,42293,A,Smoke
1,42294,A,Smoke